user,item,rating,timestamp
AB34KVH2149SG,321732960,3,1330646400
A2CX7LUOHB2NDG,321735722,5,1341100800
AR7F7FWZZY76J,594450284,4,1404777600
A1V2NYR5V2W8VK,1577911989,2,1338336000
A2J4SZT78QQUQP,1616830867,5,1389830400
A3EGV4B8ACHO6Y,1616830867,1,1395446400
A2CX7LUOHB2NDG,1937038025,5,1341100800
A194CUNGEDAHN7,9628887491,5,1282435200
A3UBSED45B09PS,9628887491,1,1293062400
A10XA0OFKOVEW1,9628887491,5,1354665600
AR4073P4P77RM,9983906937,1,1252886400
A3PNC0DMXAN35S,9984978761,5,1383264000
AJS9GIRJOOD9D,9984978761,5,1332201600
AJ18DRYAMKOEF,9984988945,1,1395446400
A3HRRYOLLDEPQI,9984988945,5,1405468800
A11QU18S903IOL,B00001MXZ7,4,960681600
A2G0O4Y8QE10AE,B00001R3YB,5,996278400
A11UL359TZPCWH,B00001R3YB,5,963792000
A2P4W9L2SV0EOD,B00003Q09I,1,982540800
AOTH530X4GP2G,B00003Q09I,5,982108800
A3PG4K3GBRVXTR,B00003Q09I,5,1104624000
A3MWCMM3SGTFPF,B00003Q09I,5,956793600
A2GPPVBL74G1RP,B00003Q09I,4,1236643200
A3PM6XF2UELXP1,B00003Q09I,4,1015372800
A37VSVLDGF28SU,B00003Q09I,5,1044576000
A1590KJR2FEHI7,B00003Q09I,4,963014400
A1IM6VWMKIGWOU,B00003Q09I,5,1172188800
A1GNOAHBMJ7EAN,B00004SYNG,5,963964800
A1KPCM7M4I5PQY,B00004SYNG,3,962928000
A713XQPIF0CJ8,B00004SYNG,4,1002240000
A1GJ2NHNUTUTEJ,B00004SYNK,1,963532800
A1EZK3PD0UJNBC,B00004SYNK,4,983491200
A32EWZJABHJH2,B00004SYNK,5,1279584000
A218NKG6HQFVXL,B00004SYNK,1,994550400
A1BOBL6Q1YFLLF,B00004TENA,4,960940800
A7FBBAK31M1C,B00004TS2O,5,985305600
A157LUO5TPGSYO,B00004TS2O,4,965606400
ABCM912PUC5TA,B00004TS2O,5,999475200
AO461REE0KA4J,B00004TS2O,4,965088000
AKMTUAZAHWWWX,B00004TS2O,5,962755200
A3SZHC8B8RESJP,B00004TS2P,3,1102032000
A1821GQPAYE9OE,B00004TS2P,5,966643200
A32TQERP832B9M,B00004TS2Q,4,1004313600
A3QMJMTLJC34QC,B00004TS2Q,5,1292976000
A2ZG7SSHO1VKI4,B00004WLQC,5,1029715200
A15612QV7UD6YJ,B00004Y74E,5,1004400000
A2OFTVYMNRJZ3X,B00004Y74F,5,1281052800
A2J9QZ7H727GPP,B00004Y74J,4,979430400
AMAK3JPQ4JO3A,B00004Y74J,5,1007942400
A4FMGPT5M6RPE,B00004Y74N,5,1012867200
A34ULUWFQDRL2E,B00004Y74N,5,1185148800
A1EXNWUGKBFHW1,B00004Y74N,4,1008201600
A2P0TC67R1HDQ0,B00004Y74N,5,1108684800
A1ICD2TKKR0VY,B00004Y74O,5,976492800
AN81JUYW2SL24,B00004Y74O,3,1062460800
A39U8VAX74LW4L,B00004Y74O,2,982886400
AGRPB8GNDN8RM,B00004Y74O,5,1068681600
AP7JQI7ZOYAW8,B00004Y74O,5,977788800
A2N3BBSCIFFQVU,B00004Y74O,3,1077580800
A32TQERP832B9M,B00004YK4I,2,968371200
A3EHCAFFOODPJ5,B00004Z9YX,4,992908800
ALAXAEP4Y14VP,B00004ZA73,5,1013731200
A3I0FQ98R1LUJI,B00004ZA73,1,1028246400
A2R5WUXPGW9B61,B00004ZA73,3,974678400
A24BNVUEOP6NOV,B000056SMP,5,983491200
A11D5TH3NT4CWG,B000056SMP,4,1008115200
A25VFL9M04Y2AK,B00005A8Y4,1,986256000
